Code,Basin,Short Name,Recoveries,,
2MS28M23APOLL PT 01,SWVI,ACSPT POLL PT (23-1),120,,
2MS28M23APR ALBE 01,SWVI,ACSPT PR ALBE (23-1),397,,
2MS28M23ASOMA AB 01,SWVI,ACSPT SOMA AB (23-1),4,,
2MS28M23ASPRO NA 01,SWVI,ACSPT SPRO NA (23-1),128,,
2MS28M23ASTAM NA 01,SWVI,ACSPT STAM NA (23-1),9,,
2MS28M23ATNMI PT 02,SWVI,ACSPT TNMI PT (23-2),60,,
2MS28M23AUNDE CV 01,SWVI,ACSPT UNDE CV (23-1),136,,
2MS70M23A 000,SWVI,AIEO M23A-000,674,,
2MS70M23A 723,SWVI,AIEO M23A-723,369,,
2MSAFM23AALBE IN 01,SWVI,AIFSC ALBE IN (23-1),20,,
2MSAFM23ACLUTESI 01,SWVI,AIFSC CLUTESI (23-1),6,,
2MSAFM23APR ALBE 01,SWVI,AIFSC PR ALBE (23-1),2,,
2MSAFSMRVSOMA RI,SWVI,AIFSC SOMA RI [SMRV],27,,
2MSAIM23A 000,SWVI,AIGNEO M23A-000,2934,,
2MSAIM23A 054,SWVI,AIGNEO M23A-054,6,,
2MSAIM23A 519,SWVI,AIGNEO M23A-519,2,,
2MSAIM23A 723,SWVI,AIGNEO M23A-723,104,,
2M BMM23BBAMFIEL,SWVI,BC MARBAMFIEL (M23B),2,,
2M BMP020BEEC HD 05,SWVI,BC MARBEEC HD (20-5),1,,
2M BMM23ACHIN CR 01,SWVI,BC MARCHIN CR (23-1),1,,
2M BMP124HYSO BK 01,SWVI,BC MARHYSO BK (124-1),1,,
2M BMH021,SWVI,BC MARINE H021,1,,
2M BMH23B,SWVI,BC MARINE H23B,15,,
2M BMM053,SWVI,BC MARINE M053,1,,
2M BMM23B,SWVI,BC MARINE M23B,1,,
2M BMM401,SWVI,BC MARINE M401,5,,
2M BMM402,SWVI,BC MARINE M402,1,,
2M BMP024,SWVI,BC MARINE P024,1,,
2M BMP121,SWVI,BC MARINE P121,1,,
2M BMP123,SWVI,BC MARINE P123,4,,
2M BMP124,SWVI,BC MARINE P124,1,,
2M BMP124LONG BE 03,SWVI,BC MARLONG BE (124-3),1,,
2M BMP020OTTE PT 05,SWVI,BC MAROTTE PT (20-5),3,,
2M BMM23BPILL PT 06,SWVI,BC MARPILL PT (23-6),1,,
2M BMP124RAFA PT,SWVI,BC MARRAFA PT (P124),1,,
2M BMP020SN J PR 01,SWVI,BC MARSN J PR (20-1),1,,
2M BMM23BSWAL RK 07,SWVI,BC MARSWAL RK (23-7),1,,
2M BMP124WILF RK 03,SWVI,BC MARWILF RK (124-3),1,,
2MSMAM23BBARK SD 08,SWVI,FNMAA BARK SD (23-8),23,,
2F 290FW ASH RI,SWVI,FWSPT ASH RI [FW],1,,
2F 290FW CHAR CR,SWVI,FWSPT CHAR CR [FW],2,,
2F 290FW COLE CK,SWVI,FWSPT COLE CK [FW],3,,
2F 290FW GREA LK,SWVI,FWSPT GREA LK [FW],3,,
2F 290FW HARR CK,SWVI,FWSPT HARR CK [FW],1,,
2F 290FW KITS CK,SWVI,FWSPT KITS CK [FW],1,,
2F 290FW ROBE CK,SWVI,FWSPT ROBE CK [FW],5,,
2F 290FW SOMA RI,SWVI,FWSPT SOMA RI [FW],1,,
2F 29SMRVSOMA RI,SWVI,FWSPT SOMA RI [SMRV],536,,
2F 290FW SOOK RI,SWVI,FWSPT SOOK RI [FW],4,,
2F 290FW SPRO LK,SWVI,FWSPT SPRO LK [FW],8,,
2F 290FW SPRO RI,SWVI,FWSPT SPRO RI [FW],89,,
2F 290FW STAM RI,SWVI,FWSPT STAM RI [FW],1142,,
2F 29SMRVSTAM RI,SWVI,FWSPT STAM RI [SMRV],19,,
2FS99SWVIH0114,SWVI,H-NITINAT R,3125,,
